nodeid,markers
tests/journeys/test_arithmetic.py::test_01_service_total[H svc + prod qty],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[H 2 svc + 2 prod],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[H 5 mixed lines],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[H mixed + line discs],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[H mixed + cart pct],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[H mixed + everything],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[H all products],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[H one paisa line],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[H big and small],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[I round p=333.33],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[I round p=0.03],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[I round p=0.07],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[I round p=16.66],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[I round p=1.11],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[I round p=9.99],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[I round p=49.99],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[I round p=101.01],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[I round p=666.67],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[I round p=1.005],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[I round p=0.005],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[I round p=12345.67],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[J flat > subtotal],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[J flat == subtotal],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[J pct 100],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[J pct 100 + flat],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[J pct 99.99],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[J line 100 + cart 50],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[K min value],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[K max value],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[K many lines],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[K high qty],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_01_service_total[K tiny x huge],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[A price=0.01],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[A price=1],P1|arithmetic|journey|module_billing|parametrize
